"tiempo","fecha"
868208.607004404,"09/10/2015"
341464.794002295,"10/10/2015"
331533.153998613,"11/10/2015"
611989.471003532,"12/10/2015"
987875.23900032,"13/10/2015"
1043918.86599874,"14/10/2015"
987006.919000387,"15/10/2015"
774976.758000135,"16/10/2015"
570014.95599699,"17/10/2015"
588120.87399888,"18/10/2015"
119383.936998129,"19/10/2015"
910863.450001478,"20/10/2015"
945508.280996084,"21/10/2015"
1055133.34299779,"22/10/2015"
966792.083997965,"23/10/2015"
343264.77399826,"24/10/2015"
862564.834999084,"25/10/2015"
414668.900998592,"26/10/2015"
452316.523002386,"27/10/2015"
619475.034997702,"28/10/2015"
434297.866998672,"29/10/2015"
649069.512998581,"30/10/2015"
453901.759000063,"31/10/2015"
602474.219002247,"01/11/2015"
783040.444998503,"02/11/2015"
683573.600999832,"03/11/2015"
623193.560992956,"04/11/2015"
618096.70900178,"05/11/2015"
885148.400998116,"06/11/2015"
810267.177000999,"07/11/2015"
898335.091001511,"08/11/2015"
723534.96700573,"09/11/2015"
902422.995999575,"10/11/2015"
832953.216999054,"11/11/2015"
1047314.73099494,"12/11/2015"
834122.089999914,"13/11/2015"
698859.393998861,"14/11/2015"
642715.505997419,"15/11/2015"
767191.440994263,"16/11/2015"
653314.699995995,"17/11/2015"
746650.498997927,"18/11/2015"
829202.33899951,"19/11/2015"
636197.839002132,"20/11/2015"
351505.198998928,"21/11/2015"
147204.994999647,"22/11/2015"
603565.596001148,"23/11/2015"
287339.271999359,"24/11/2015"
608451.128000498,"25/11/2015"
433366.597004175,"26/11/2015"
711714.91000104,"27/11/2015"
481224.24700284,"28/11/2015"
417356.820000887,"29/11/2015"
669601.511998415,"30/11/2015"
801963.004002571,"01/12/2015"
844406.697002172,"02/12/2015"
565802.948001623,"03/12/2015"
708178.442003012,"04/12/2015"
1118183.43199754,"05/12/2015"
582038.674999475,"06/12/2015"
426721.633001089,"07/12/2015"
619874.504000187,"08/12/2015"
1011778.36300325,"09/12/2015"
693958.592000723,"10/12/2015"
737248.352000475,"11/12/2015"
451251.27900219,"12/12/2015"
562234.700003862,"13/12/2015"
366704.878000975,"14/12/2015"
628577.084998608,"15/12/2015"
682917.610004425,"16/12/2015"
395704.7970016,"17/12/2015"
504953.373996735,"18/12/2015"
272569.967002153,"19/12/2015"
290433.684000969,"20/12/2015"
576996.069996595,"21/12/2015"
385104.652999401,"22/12/2015"
412868.998003244,"23/12/2015"
171964.642000198,"24/12/2015"
395837.524000406,"26/12/2015"
458059.008999109,"27/12/2015"
199482.676999331,"28/12/2015"
483859.980000019,"29/12/2015"
237502.919999599,"30/12/2015"
322516.602999687,"31/12/2015"
