"sexo","edad","tiempo","fecha"
"0","(45,60]",181002.603001595,"03/08/2015"
"0","(60,Inf]",106106.623000383,"03/08/2015"
"1","(0,18]",2298.90300011635,"03/08/2015"
"1","(18,30]",58455.5339996815,"03/08/2015"
"1","(30,45]",167216.167001486,"03/08/2015"
"1","(45,60]",101586.696000814,"03/08/2015"
"1","(60,Inf]",14403.6510000229,"03/08/2015"
"0","(0,18]",2241.91799998283,"04/08/2015"
"0","(18,30]",69447.6040015221,"04/08/2015"
"0","(30,45]",217244.314001322,"04/08/2015"
"0","(45,60]",212530.033998251,"04/08/2015"
"0","(60,Inf]",228933.497999668,"04/08/2015"
"1","(0,18]",2956.88000011444,"04/08/2015"
"1","(18,30]",64040.7589998245,"04/08/2015"
"1","(30,45]",162471.424999952,"04/08/2015"
"1","(45,60]",163312.88400054,"04/08/2015"
"1","(60,Inf]",18724.5220000744,"04/08/2015"
"0","(0,18]",5395.12700009346,"05/08/2015"
"0","(18,30]",83593.1969988346,"05/08/2015"
"0","(30,45]",149819.252001762,"05/08/2015"
"0","(45,60]",175942.964000225,"05/08/2015"
"0","(60,Inf]",122718.151001692,"05/08/2015"
"1","(0,18]",2695.16300010681,"05/08/2015"
"1","(18,30]",45788.503998518,"05/08/2015"
"1","(30,45]",88565.8739988804,"05/08/2015"
"1","(45,60]",91213.8760004044,"05/08/2015"
"1","(60,Inf]",18951.5459997654,"05/08/2015"
"0","(0,18]",8850.24300003052,"06/08/2015"
"0","(18,30]",106997.89799881,"06/08/2015"
"0","(30,45]",221550.16899848,"06/08/2015"
"0","(45,60]",265094.443999052,"06/08/2015"
"0","(60,Inf]",163163.570000648,"06/08/2015"
"1","(0,18]",8905.61500024796,"06/08/2015"
"1","(18,30]",58383.9889988899,"06/08/2015"
"1","(30,45]",129905.781000137,"06/08/2015"
"1","(45,60]",125365.496999979,"06/08/2015"
"1","(60,Inf]",12296.1580004692,"06/08/2015"
"0","(0,18]",7704.5529999733,"07/08/2015"
"0","(18,30]",75695.6999995708,"07/08/2015"
"0","(30,45]",189132.862999678,"07/08/2015"
"0","(45,60]",252837.971999884,"07/08/2015"
"0","(60,Inf]",80386.6540002823,"07/08/2015"
"1","(0,18]",11350.6719999313,"07/08/2015"
"1","(18,30]",37408.1639997959,"07/08/2015"
"1","(30,45]",122437.138000727,"07/08/2015"
"1","(45,60]",107087.76199913,"07/08/2015"
"1","(60,Inf]",12138.4819998741,"07/08/2015"
"0","(0,18]",8249.51399993896,"08/08/2015"
"0","(18,30]",59005.775001049,"08/08/2015"
"0","(30,45]",109011.612999916,"08/08/2015"
"0","(45,60]",171413.992999792,"08/08/2015"
"0","(60,Inf]",98579.6879997253,"08/08/2015"
"1","(0,18]",14617.4429996014,"08/08/2015"
"1","(18,30]",38661.5780005455,"08/08/2015"
"1","(30,45]",81083.2150013447,"08/08/2015"
"1","(45,60]",68292.8469996452,"08/08/2015"
"1","(60,Inf]",8293.06699991226,"08/08/2015"
"0","(0,18]",12873.3459997177,"09/08/2015"
"0","(18,30]",39426.2140004635,"09/08/2015"
"0","(30,45]",109862.935000181,"09/08/2015"
"0","(45,60]",151760.866999865,"09/08/2015"
"0","(60,Inf]",91078.1869986057,"09/08/2015"
"1","(0,18]",13344.8130002022,"09/08/2015"
"1","(18,30]",36234.7799994946,"09/08/2015"
"1","(30,45]",81314.4050006866,"09/08/2015"
"1","(45,60]",90489.3410007954,"09/08/2015"
"1","(60,Inf]",14593.7260000706,"09/08/2015"
"0","(0,18]",13496.371999979,"10/08/2015"
"0","(18,30]",74279.7899987698,"10/08/2015"
"0","(30,45]",175959.797000408,"10/08/2015"
"0","(45,60]",174878.430999994,"10/08/2015"
"0","(60,Inf]",97395.9450013638,"10/08/2015"
"1","(0,18]",4711.72400021553,"10/08/2015"
"1","(18,30]",52241.6690003872,"10/08/2015"
"1","(30,45]",105032.690999746,"10/08/2015"
"1","(45,60]",76127.4330003262,"10/08/2015"
"1","(60,Inf]",18260.8780004978,"10/08/2015"
"0","(0,18]",7756.74900007248,"11/08/2015"
"0","(18,30]",116055.411000013,"11/08/2015"
"0","(30,45]",161930.865998745,"11/08/2015"
"0","(45,60]",210801.103002548,"11/08/2015"
"0","(60,Inf]",134394.926000834,"11/08/2015"
"1","(0,18]",6597.20399999619,"11/08/2015"
"1","(18,30]",36063.7969987392,"11/08/2015"
"1","(30,45]",100978.184999228,"11/08/2015"
"1","(45,60]",97985.2159993649,"11/08/2015"
"1","(60,Inf]",21236.007999897,"11/08/2015"
"0","(0,18]",8105.6400001049,"12/08/2015"
"0","(18,30]",78589.093998909,"12/08/2015"
"0","(30,45]",207156.005999565,"12/08/2015"
"0","(45,60]",135802.755999565,"12/08/2015"
"0","(60,Inf]",158764.356999159,"12/08/2015"
"1","(0,18]",12226.8399999142,"12/08/2015"
"1","(18,30]",41718.5420000553,"12/08/2015"
"1","(30,45]",103193.757999182,"12/08/2015"
"1","(45,60]",116803.280998468,"12/08/2015"
"1","(60,Inf]",29780.8850004673,"12/08/2015"
"0","(0,18]",2320.78700017929,"13/08/2015"
"0","(18,30]",53336.0450000763,"13/08/2015"
"0","(30,45]",85058.7800002098,"13/08/2015"
"0","(45,60]",80727.1019995213,"13/08/2015"
"0","(60,Inf]",14842.7699999809,"13/08/2015"
"1","(18,30]",19150.0660004616,"13/08/2015"
"1","(30,45]",87369.5039997101,"13/08/2015"
"1","(45,60]",23692.1370003223,"13/08/2015"
"1","(60,Inf]",6309.62100028992,"13/08/2015"
"0","(0,18]",5509.68000030518,"14/08/2015"
"0","(18,30]",44787.2370007038,"14/08/2015"
"0","(30,45]",148145.358000517,"14/08/2015"
"0","(45,60]",81262.1539986134,"14/08/2015"
"0","(60,Inf]",31310.8940000534,"14/08/2015"
"1","(0,18]",6853.53600001335,"14/08/2015"
"1","(18,30]",19277.0880007744,"14/08/2015"
"1","(30,45]",106760.423999548,"14/08/2015"
"1","(45,60]",30458.4600002766,"14/08/2015"
"1","(60,Inf]",53951.7069993019,"14/08/2015"
"0","(0,18]",8926.53199958801,"15/08/2015"
"0","(18,30]",56314.25,"15/08/2015"
"0","(30,45]",107515.909000635,"15/08/2015"
"0","(45,60]",121775.318000317,"15/08/2015"
"0","(60,Inf]",49721.0000002384,"15/08/2015"
"1","(0,18]",2687.5490000248,"15/08/2015"
"1","(18,30]",21306.3240003586,"15/08/2015"
"1","(30,45]",79185.7929999828,"15/08/2015"
"1","(45,60]",43944.5999991894,"15/08/2015"
"1","(60,Inf]",58183.0179998875,"15/08/2015"
"0","(0,18]",1799.86599993706,"16/08/2015"
"0","(18,30]",40504.2269997597,"16/08/2015"
"0","(30,45]",83732.2880001068,"16/08/2015"
"0","(45,60]",92995.1229994297,"16/08/2015"
"0","(60,Inf]",45891.2790002823,"16/08/2015"
"1","(0,18]",10229.0900001526,"16/08/2015"
"1","(18,30]",73065.8060002327,"16/08/2015"
"1","(30,45]",87891.7729995251,"16/08/2015"
