"edad","tiempo","fecha"
"(45,60]",367710.2900002,"19/08/2015"
"(60,Inf]",185441.505001068,"19/08/2015"
"(0,18]",13568.3269996643,"20/08/2015"
"(18,30]",136440.066998243,"20/08/2015"
"(30,45]",357441.077000856,"20/08/2015"
"(45,60]",299800.709002495,"20/08/2015"
"(60,Inf]",126667.311998844,"20/08/2015"
"(0,18]",8260.27999973297,"21/08/2015"
"(18,30]",133417.218002558,"21/08/2015"
"(30,45]",305502.347998381,"21/08/2015"
"(45,60]",286069.290001869,"21/08/2015"
"(60,Inf]",187773.463000774,"21/08/2015"
"(0,18]",12915.3549997807,"22/08/2015"
"(18,30]",23653.368999958,"22/08/2015"
"(30,45]",162697.710001945,"22/08/2015"
"(45,60]",188066.35299921,"22/08/2015"
"(60,Inf]",59783.7340004444,"22/08/2015"
"(0,18]",8500.72399973869,"23/08/2015"
"(18,30]",32160.1470005512,"23/08/2015"
"(30,45]",122015.659001112,"23/08/2015"
"(45,60]",105562.620000124,"23/08/2015"
"(60,Inf]",44580.1729989052,"23/08/2015"
"(0,18]",5394.48200011253,"24/08/2015"
"(18,30]",120367.490999699,"24/08/2015"
"(30,45]",357517.562998533,"24/08/2015"
"(45,60]",277863.233999729,"24/08/2015"
"(60,Inf]",129462.830000162,"24/08/2015"
"(0,18]",2521.507999897,"25/08/2015"
"(18,30]",126051.709000111,"25/08/2015"
"(30,45]",487942.885000229,"25/08/2015"
"(45,60]",526849.509001255,"25/08/2015"
"(60,Inf]",138844.453000546,"25/08/2015"
"(0,18]",3887.64800000191,"26/08/2015"
"(18,30]",65329.1360013485,"26/08/2015"
"(30,45]",161335.950000763,"26/08/2015"
"(45,60]",169672.391998768,"26/08/2015"
"(60,Inf]",72703.3850004673,"26/08/2015"
"(0,18]",18073.2160003185,"27/08/2015"
"(18,30]",75317.0050005913,"27/08/2015"
"(30,45]",171204.91199708,"27/08/2015"
"(45,60]",150170.030999184,"27/08/2015"
"(60,Inf]",56012.6550002098,"27/08/2015"
"(0,18]",1579.89599990845,"28/08/2015"
"(18,30]",64841.9259998798,"28/08/2015"
"(30,45]",300821.987001181,"28/08/2015"
"(45,60]",164629.408000708,"28/08/2015"
"(60,Inf]",74425.7679998875,"28/08/2015"
"(18,30]",67685.8080010414,"29/08/2015"
"(30,45]",316587.090000391,"29/08/2015"
"(45,60]",212836.195999146,"29/08/2015"
"(60,Inf]",77926.2969996929,"29/08/2015"
"(18,30]",85314.4259998798,"30/08/2015"
"(30,45]",264677.904998779,"30/08/2015"
"(45,60]",262727.855001926,"30/08/2015"
"(60,Inf]",102846.14800024,"30/08/2015"
"(0,18]",1417.35399985313,"31/08/2015"
"(18,30]",41828.6890001297,"31/08/2015"
"(30,45]",186337.784999132,"31/08/2015"
"(45,60]",83495.8800020218,"31/08/2015"
"(60,Inf]",31683.6420009136,"31/08/2015"
"(0,18]",2594.12099981308,"01/09/2015"
"(18,30]",150296.933998585,"01/09/2015"
"(30,45]",320287.388000011,"01/09/2015"
"(45,60]",302186.825000048,"01/09/2015"
"(60,Inf]",199723.879001379,"01/09/2015"
"(0,18]",5008.31999969482,"02/09/2015"
"(18,30]",99902.6300001144,"02/09/2015"
"(30,45]",479212.440000057,"02/09/2015"
"(45,60]",404531.257998466,"02/09/2015"
"(60,Inf]",110864.887000561,"02/09/2015"
"(0,18]",845.077000141144,"03/09/2015"
"(18,30]",210944.44699955,"03/09/2015"
"(30,45]",424078.668997765,"03/09/2015"
"(45,60]",245679.070000648,"03/09/2015"
"(60,Inf]",151405.790000916,"03/09/2015"
"(0,18]",18392.5339999199,"04/09/2015"
"(18,30]",133821.473999739,"04/09/2015"
"(30,45]",369846.200998068,"04/09/2015"
"(45,60]",292174.416000605,"04/09/2015"
"(60,Inf]",133585.410000324,"04/09/2015"
"(0,18]",853.966000080109,"05/09/2015"
"(18,30]",68197.8239998817,"05/09/2015"
"(30,45]",241552.297000647,"05/09/2015"
"(45,60]",257159.402999878,"05/09/2015"
"(60,Inf]",113022.911001682,"05/09/2015"
"(0,18]",20291.3050000668,"06/09/2015"
"(18,30]",103358.930998802,"06/09/2015"
"(30,45]",237139.357000113,"06/09/2015"
"(45,60]",275530.688998699,"06/09/2015"
"(60,Inf]",148226.115000725,"06/09/2015"
"(0,18]",1944.35600018501,"07/09/2015"
"(18,30]",125773.309998989,"07/09/2015"
"(30,45]",363378.27399826,"07/09/2015"
"(45,60]",313256.925001383,"07/09/2015"
"(60,Inf]",165064.772999525,"07/09/2015"
"(0,18]",4580.66000032425,"08/09/2015"
"(18,30]",162891.467999458,"08/09/2015"
"(30,45]",401534.437001228,"08/09/2015"
"(45,60]",333452.171999454,"08/09/2015"
"(60,Inf]",183457.884999752,"08/09/2015"
"(0,18]",2379.77099990845,"09/09/2015"
"(18,30]",155158.58199954,"09/09/2015"
"(30,45]",316166.49700141,"09/09/2015"
"(45,60]",257545.50999999,"09/09/2015"
"(60,Inf]",78914.3320000172,"09/09/2015"
"(0,18]",7967.90700006485,"10/09/2015"
"(18,30]",106104.868001223,"10/09/2015"
"(30,45]",380115.381999731,"10/09/2015"
"(45,60]",276522.8820014,"10/09/2015"
"(60,Inf]",142331.182998419,"10/09/2015"
"(0,18]",13836.6070001125,"11/09/2015"
"(18,30]",80314.2060012817,"11/09/2015"
"(30,45]",239401.536999464,"11/09/2015"
"(45,60]",189702.913000345,"11/09/2015"
"(60,Inf]",117866.047999144,"11/09/2015"
"(0,18]",1680.16399979591,"12/09/2015"
"(18,30]",246460.75999999,"12/09/2015"
"(30,45]",147470.248999119,"12/09/2015"
"(45,60]",187679.950999498,"12/09/2015"
"(60,Inf]",71358.864000082,"12/09/2015"
"(0,18]",1233.96300005913,"13/09/2015"
"(18,30]",31480.392999649,"13/09/2015"
"(30,45]",183255.657998562,"13/09/2015"
"(45,60]",197918.412997961,"13/09/2015"
"(60,Inf]",44610.3649997711,"13/09/2015"
"(0,18]",8575.86600017548,"14/09/2015"
"(18,30]",184005.714999437,"14/09/2015"
"(30,45]",330903.712000132,"14/09/2015"
"(45,60]",230919.286998272,"14/09/2015"
"(60,Inf]",158459.179999352,"14/09/2015"
"(0,18]",7785.09400033951,"15/09/2015"
"(18,30]",35317.2210001945,"15/09/2015"
"(30,45]",144404.678000689,"15/09/2015"
"(45,60]",61512.4720001221,"15/09/2015"
"(60,Inf]",117067.582999945,"15/09/2015"
"(0,18]",4193.10700035095,"16/09/2015"
"(18,30]",70335.0119991302,"16/09/2015"
"(30,45]",120210.187000036,"16/09/2015"
"(45,60]",132881.607001066,"16/09/2015"
"(60,Inf]",38308.2440006733,"16/09/2015"
"(0,18]",2382.07299995422,"17/09/2015"
"(18,30]",115889.923000097,"17/09/2015"
"(30,45]",431116.699997663,"17/09/2015"
"(45,60]",334491.709998369,"17/09/2015"
"(60,Inf]",149366.325999498,"17/09/2015"
"(0,18]",1803.12600016594,"18/09/2015"
"(18,30]",432484.269999266,"18/09/2015"
"(30,45]",257707.526002645,"18/09/2015"
"(45,60]",275681.527000666,"18/09/2015"
"(60,Inf]",154661.385998249,"18/09/2015"
"(0,18]",29847.0669996738,"19/09/2015"
"(18,30]",83332.0769994259,"19/09/2015"
"(30,45]",372051.109000206,"19/09/2015"
"(45,60]",265177.867000103,"19/09/2015"
"(60,Inf]",98531.2210011482,"19/09/2015"
"(0,18]",1340.57700014114,"20/09/2015"
"(18,30]",85591.4670009613,"20/09/2015"
"(30,45]",339167.810999155,"20/09/2015"
"(45,60]",359954.033000469,"20/09/2015"
"(60,Inf]",88100.0039992332,"20/09/2015"
"(0,18]",15685.0139997005,"21/09/2015"
"(18,30]",85902.1899988651,"21/09/2015"
"(30,45]",320177.617999792,"21/09/2015"
"(45,60]",316082.118000984,"21/09/2015"
"(60,Inf]",171438.642000914,"21/09/2015"
"(0,18]",3390.51300001144,"22/09/2015"
"(18,30]",97943.9039974213,"22/09/2015"
"(30,45]",269745.20000124,"22/09/2015"
"(45,60]",222651.195997477,"22/09/2015"
"(60,Inf]",101481.402997971,"22/09/2015"
"(0,18]",7798.85899949074,"23/09/2015"
"(18,30]",85238.4720013142,"23/09/2015"
"(30,45]",293629.99600172,"23/09/2015"
"(45,60]",262790.776997089,"23/09/2015"
"(60,Inf]",129282.309000015,"23/09/2015"
"(0,18]",21266.9509997368,"24/09/2015"
"(18,30]",165302.970999241,"24/09/2015"
"(30,45]",343662.703000784,"24/09/2015"
"(45,60]",351070.229000807,"24/09/2015"
"(60,Inf]",178279.203000069,"24/09/2015"
"(0,18]",7554.54299998283,"25/09/2015"
"(18,30]",323706.951997757,"25/09/2015"
"(30,45]",350329.885998487,"25/09/2015"
"(45,60]",290721.241999626,"25/09/2015"
"(60,Inf]",167404.198999405,"25/09/2015"
"(0,18]",16833.5500001907,"26/09/2015"
"(18,30]",89313.2699990273,"26/09/2015"
"(30,45]",254983.657999754,"26/09/2015"
"(45,60]",262527.639998674,"26/09/2015"
"(60,Inf]",119099.593999863,"26/09/2015"
"(0,18]",10082.3429999352,"27/09/2015"
"(18,30]",95267.6849999428,"27/09/2015"
"(30,45]",368352.840997934,"27/09/2015"
"(45,60]",277017.995998383,"27/09/2015"
"(60,Inf]",112352.032999039,"27/09/2015"
"(0,18]",3070.01400017738,"28/09/2015"
"(18,30]",188554.214002609,"28/09/2015"
"(30,45]",348166.53000164,"28/09/2015"
"(45,60]",445593.734000444,"28/09/2015"
"(60,Inf]",156623.592998981,"28/09/2015"
"(0,18]",14054.0980000496,"29/09/2015"
"(18,30]",167712.032001019,"29/09/2015"
"(30,45]",332452.219998121,"29/09/2015"
"(45,60]",320820.848999977,"29/09/2015"
"(60,Inf]",116805.611999035,"29/09/2015"
"(0,18]",14515.7909998894,"30/09/2015"
"(18,30]",134601.730000257,"30/09/2015"
"(30,45]",356947.537002087,"30/09/2015"
"(45,60]",465752.27899766,"30/09/2015"
"(60,Inf]",141567.095000505,"30/09/2015"
"(0,18]",2165.99400019646,"01/10/2015"
"(18,30]",174375.958999872,"01/10/2015"
"(30,45]",353810.142998934,"01/10/2015"
"(45,60]",271822.690000772,"01/10/2015"
"(60,Inf]",179318.947998762,"01/10/2015"
"(0,18]",24207.4429998398,"02/10/2015"
"(18,30]",133803.968998909,"02/10/2015"
"(30,45]",337810.579998732,"02/10/2015"
"(45,60]",353278.925998211,"02/10/2015"
"(60,Inf]",117747.494999647,"02/10/2015"
"(0,18]",10675.1349999905,"03/10/2015"
"(18,30]",64762.2740008831,"03/10/2015"
"(30,45]",263078.255997896,"03/10/2015"
"(45,60]",256033.468001366,"03/10/2015"
"(60,Inf]",94496.4409990311,"03/10/2015"
"(0,18]",12842.4099998474,"04/10/2015"
"(18,30]",87546.0700008869,"04/10/2015"
"(30,45]",298136.214001417,"04/10/2015"
"(45,60]",154660.353999853,"04/10/2015"
"(60,Inf]",57071.5849993229,"04/10/2015"
"(0,18]",1165.19000005722,"05/10/2015"
"(18,30]",88329.542999506,"05/10/2015"
"(30,45]",190597.160001278,"05/10/2015"
"(45,60]",107980.16800046,"05/10/2015"
"(60,Inf]",37770.1890006065,"05/10/2015"
"(0,18]",1092.4430000782,"06/10/2015"
"(18,30]",81752.1769998074,"06/10/2015"
"(30,45]",288800.818001509,"06/10/2015"
"(45,60]",227086.099000216,"06/10/2015"
"(60,Inf]",68538.4209992886,"06/10/2015"
"(0,18]",1671.43700027466,"07/10/2015"
"(18,30]",126238.634999514,"07/10/2015"
"(30,45]",316928.919000387,"07/10/2015"
"(45,60]",263839.155999422,"07/10/2015"
"(60,Inf]",134018.500000477,"07/10/2015"
"(0,18]",4802.98299980164,"08/10/2015"
"(18,30]",197944.078002453,"08/10/2015"
"(30,45]",440027.891004324,"08/10/2015"
"(45,60]",300535.573002338,"08/10/2015"
"(60,Inf]",120297.604000092,"08/10/2015"
"(0,18]",5154.85400009155,"09/10/2015"
"(18,30]",99081.7479999065,"09/10/2015"
"(30,45]",295502.951002836,"09/10/2015"
"(45,60]",303160.56700182,"09/10/2015"
"(60,Inf]",162171.426999569,"09/10/2015"
"(0,18]",10040.3210000992,"10/10/2015"
"(18,30]",41393.9939994812,"10/10/2015"
"(30,45]",132529.080001593,"10/10/2015"
"(45,60]",88376.8700008392,"10/10/2015"
"(60,Inf]",68244.0230004787,"10/10/2015"
"(0,18]",13673.7599999905,"11/10/2015"
"(18,30]",66208.789999485,"11/10/2015"
"(30,45]",96903.673999548,"11/10/2015"
"(45,60]",78006.0879998207,"11/10/2015"
"(60,Inf]",76740.8419997692,"11/10/2015"
"(0,18]",16580.5429999828,"12/10/2015"
"(18,30]",96960.6390011311,"12/10/2015"
"(30,45]",227299.103001356,"12/10/2015"
"(45,60]",187513.3160007,"12/10/2015"
"(60,Inf]",83635.8700003624,"12/10/2015"
"(0,18]",3287.58899974823,"13/10/2015"
"(18,30]",130090.316000938,"13/10/2015"
"(30,45]",391462.669999838,"13/10/2015"
"(45,60]",338396.098999977,"13/10/2015"
"(60,Inf]",123228.847999811,"13/10/2015"
"(0,18]",23785.3330001831,"14/10/2015"
"(18,30]",141800.140000105,"14/10/2015"
"(30,45]",393561.016999483,"14/10/2015"
"(45,60]",339632.259000063,"14/10/2015"
"(60,Inf]",142824.195998907,"14/10/2015"
"(0,18]",7510.13899993896,"15/10/2015"
"(18,30]",122697.507001162,"15/10/2015"
"(30,45]",431920.886999846,"15/10/2015"
"(45,60]",283634.669001579,"15/10/2015"
"(60,Inf]",137091.949997663,"15/10/2015"
"(0,18]",9725.77000021935,"16/10/2015"
"(18,30]",190245.053999186,"16/10/2015"
"(30,45]",260565.441998482,"16/10/2015"
"(45,60]",206385.153001308,"16/10/2015"
"(60,Inf]",104298.703000546,"16/10/2015"
"(0,18]",45874.0640003681,"17/10/2015"
"(18,30]",126913.79699707,"17/10/2015"
"(30,45]",162228.287999868,"17/10/2015"
"(45,60]",154966.696000338,"17/10/2015"
"(60,Inf]",80032.1109993458,"17/10/2015"
"(0,18]",20675.0360000134,"18/10/2015"
"(18,30]",51683.3689997196,"18/10/2015"
"(30,45]",183491.801999807,"18/10/2015"
"(45,60]",171901.56400013,"18/10/2015"
"(60,Inf]",160369.10299921,"18/10/2015"
"(0,18]",4240.47900009155,"19/10/2015"
"(18,30]",21234.3729996681,"19/10/2015"
"(30,45]",30902.8609991074,"19/10/2015"
"(45,60]",23461.6839990616,"19/10/2015"
"(60,Inf]",39544.5400002003,"19/10/2015"
"(0,18]",1396.29099988937,"20/10/2015"
"(18,30]",187054.631000519,"20/10/2015"
"(30,45]",337994.80200243,"20/10/2015"
"(45,60]",243176.161998272,"20/10/2015"
"(60,Inf]",141241.564000368,"20/10/2015"
"(0,18]",8276.29299974442,"21/10/2015"
"(18,30]",156862.049996853,"21/10/2015"
"(30,45]",328684.16800046,"21/10/2015"
"(45,60]",296713.73300004,"21/10/2015"
"(60,Inf]",154972.036998987,"21/10/2015"
"(0,18]",64252.7669999599,"22/10/2015"
"(18,30]",112870.523000717,"22/10/2015"
"(30,45]",384358.960999489,"22/10/2015"
"(45,60]",330442.289998293,"22/10/2015"
"(60,Inf]",161792.907999277,"22/10/2015"
"(0,18]",67251.7639997005,"23/10/2015"
"(18,30]",86153.1829998493,"23/10/2015"
"(30,45]",384258.409999132,"23/10/2015"
"(45,60]",284673.045000792,"23/10/2015"
"(60,Inf]",142853.275998592,"23/10/2015"
"(0,18]",5316.95399975777,"24/10/2015"
"(18,30]",39408.2299997807,"24/10/2015"
"(30,45]",134862.112999201,"24/10/2015"
"(45,60]",89639.8460001945,"24/10/2015"
