"sexo","tiempo","fecha"
"0",118610.780002356,"13/01/2016"
"1",56718.4509997368,"13/01/2016"
"0",254655.565998793,"14/01/2016"
"1",87781.4170007706,"14/01/2016"
"0",274324.982001543,"15/01/2016"
"1",112603.377000093,"15/01/2016"
"0",286045.315999269,"16/01/2016"
"1",194068.49000001,"16/01/2016"
"0",50030.0910000801,"17/01/2016"
"1",15938.25,"17/01/2016"
"0",184163.957999468,"18/01/2016"
"1",100725.738000393,"18/01/2016"
"0",367455.655999422,"19/01/2016"
"1",156113.907997608,"19/01/2016"
"0",321540.980001211,"20/01/2016"
"1",193986.161999702,"20/01/2016"
"0",389144.552000046,"21/01/2016"
"1",187611.687001467,"21/01/2016"
"0",171739.344000101,"22/01/2016"
"1",68736.3779985905,"22/01/2016"
"0",273557.656998873,"23/01/2016"
"1",151858.214999437,"23/01/2016"
"0",423833.783000469,"24/01/2016"
"1",238951.050999641,"24/01/2016"
"0",148782.967001677,"25/01/2016"
"1",31769.5329999924,"25/01/2016"
"0",386628.831999063,"26/01/2016"
"1",207962.221999168,"26/01/2016"
"0",363958.433001518,"27/01/2016"
"1",207161.696999788,"27/01/2016"
"0",139357.062998772,"28/01/2016"
"1",55516.9840006828,"28/01/2016"
"0",417950.158000231,"29/01/2016"
"1",161720.116999149,"29/01/2016"
"0",195381.901000738,"30/01/2016"
"1",62040.5810005665,"30/01/2016"
"0",158883.232000351,"31/01/2016"
"1",64068.2420003414,"31/01/2016"
"0",343904.629001856,"01/02/2016"
"1",184406.490999699,"01/02/2016"
"0",350449.493999243,"02/02/2016"
"1",136941.557001352,"02/02/2016"
"0",378173.283998728,"03/02/2016"
"1",226876.403000593,"03/02/2016"
"0",485332.570999861,"04/02/2016"
"1",216399.096998453,"04/02/2016"
"0",316145.02299881,"05/02/2016"
"1",224007.627001286,"05/02/2016"
"0",73080.7670004368,"06/02/2016"
"1",34826.2370016575,"06/02/2016"
"0",162037.273999453,"07/02/2016"
"1",93443.9419994354,"07/02/2016"
"0",210413.144000053,"08/02/2016"
"1",94015.0879993439,"08/02/2016"
"0",37544.3320000172,"09/02/2016"
"1",37883.0759994984,"09/02/2016"
"0",93253.4940004349,"10/02/2016"
"1",31864.3600008488,"10/02/2016"
"0",195650.515001535,"11/02/2016"
"1",76638.1569986343,"11/02/2016"
"0",43362.3149998188,"12/02/2016"
"1",12862.4990000725,"12/02/2016"
"0",87557.9419994354,"13/02/2016"
"1",17533.631000042,"13/02/2016"
"0",17655.5450000763,"14/02/2016"
"1",13593.0369999409,"14/02/2016"
"0",192316.396999359,"15/02/2016"
"1",90864.677000761,"15/02/2016"
"0",402795.736998796,"16/02/2016"
"1",179545.814000607,"16/02/2016"
"0",124268.20299983,"17/02/2016"
"1",46128.5579988956,"17/02/2016"
"0",231516.367000103,"18/02/2016"
"1",112307.867001057,"18/02/2016"
"0",301065.96099782,"19/02/2016"
"1",151075.693999052,"19/02/2016"
"0",220214.614999533,"20/02/2016"
"1",131369.282999992,"20/02/2016"
"0",289394.647000074,"21/02/2016"
"1",276741.158998728,"21/02/2016"
"0",247322.759999752,"22/02/2016"
"1",121184.177000284,"22/02/2016"
"0",376583.409995556,"23/02/2016"
"1",156453.532999039,"23/02/2016"
"0",133558.491997719,"24/02/2016"
"1",56037.9410002232,"24/02/2016"
"0",202287.9079988,"25/02/2016"
"1",87042.9360010624,"25/02/2016"
"0",112974.62300086,"26/02/2016"
"1",63052.8700006008,"26/02/2016"
"0",41293.6869986057,"27/02/2016"
"1",22641.3920001984,"27/02/2016"
"0",104932.929000616,"28/02/2016"
"1",57941.553000927,"28/02/2016"
"0",375274.726999044,"29/02/2016"
"1",185972.727999687,"29/02/2016"
"0",425975.203001738,"01/03/2016"
"1",203222.344999313,"01/03/2016"
"0",206699.805999994,"02/03/2016"
"1",96523.865000248,"02/03/2016"
"0",425800.713996887,"03/03/2016"
"1",155160.094001055,"03/03/2016"
"0",118789.631998301,"04/03/2016"
"1",30003.9199998379,"04/03/2016"
"0",86814.4919996262,"05/03/2016"
"1",39156.534001112,"05/03/2016"
"0",105118.069999933,"06/03/2016"
"1",29368.8220000267,"06/03/2016"
"0",129906.253998518,"07/03/2016"
"1",61746.6969995499,"07/03/2016"
"0",310364.594003916,"08/03/2016"
"1",127631.339998484,"08/03/2016"
"0",211612.247998714,"09/03/2016"
"1",102630.383000612,"09/03/2016"
"0",416428.903000832,"10/03/2016"
"1",137564.168000937,"10/03/2016"
"0",476250.073002338,"11/03/2016"
"1",200748.445000648,"11/03/2016"
"0",374204.906999111,"12/03/2016"
"1",270047.031998873,"12/03/2016"
"0",426467.899003029,"13/03/2016"
"1",389668.6439991,"13/03/2016"
"0",436269.127996922,"14/03/2016"
"1",217544.715999365,"14/03/2016"
"0",452758.444996834,"15/03/2016"
"1",221791.238996744,"15/03/2016"
"0",454303.681999922,"16/03/2016"
"1",219290.465999842,"16/03/2016"
"0",504197.081001997,"17/03/2016"
"1",186547.633999348,"17/03/2016"
"0",287765.625000954,"18/03/2016"
"1",79730.0630011559,"18/03/2016"
"0",238523.5070014,"19/03/2016"
"1",109882.763000488,"19/03/2016"
"0",83862.1020002365,"20/03/2016"
"1",36930.9240002632,"20/03/2016"
"0",356125.547002077,"21/03/2016"
"1",151846.426000357,"21/03/2016"
"0",404214.53200078,"22/03/2016"
"1",186497.476999044,"22/03/2016"
"0",278658.845001221,"23/03/2016"
"1",112132.862001657,"23/03/2016"
"0",322086.471002102,"24/03/2016"
"1",228363.758000612,"24/03/2016"
"0",50708.6789991856,"25/03/2016"
"1",24033.1679999828,"25/03/2016"
"0",64126.0340008736,"26/03/2016"
"1",24448.4270005226,"26/03/2016"
"0",142942.354000092,"27/03/2016"
"1",92752.8489992619,"27/03/2016"
"0",319084.738997459,"28/03/2016"
"1",170985.866002321,"28/03/2016"
"0",64367.5499999523,"29/03/2016"
"1",22310.242000103,"29/03/2016"
"0",21251.0320000648,"30/03/2016"
"1",5256.6299996376,"30/03/2016"
"0",448430.092996836,"31/03/2016"
"1",139555.083001375,"31/03/2016"
"0",467080.069999695,"01/04/2016"
"1",223002.432999849,"01/04/2016"
"0",113545.239999294,"02/04/2016"
"1",77177.0789999962,"02/04/2016"
"0",123259.080999851,"03/04/2016"
"1",34722.2150006294,"03/04/2016"
"0",228523.131003141,"04/04/2016"
"1",129884.621999741,"04/04/2016"
"0",581309.17399931,"05/04/2016"
"1",221586.375002146,"05/04/2016"
"0",396468.307996988,"06/04/2016"
